"|","|__name","|__year","|__position","|__rating","|__url"
"","Pink","2016","95","8.0","https://www.imdb.com/title/tt5571734/"
"","Pelli Choopulu","2016","111","8.0","https://www.imdb.com/title/tt5824826/"
"","Airlift","2016","152","7.8","https://www.imdb.com/title/tt4387040/"
"","Udta Punjab","2016","172","7.7","https://www.imdb.com/title/tt4434004/"
"","M.S. Dhoni: The Untold Story","2016","186","7.7","https://www.imdb.com/title/tt4169250/"
"","Kapoor & Sons","2016","189","7.6","https://www.imdb.com/title/tt4900716/"
"","24","2016","195","7.6","https://www.imdb.com/title/tt4981966/"
"","Neerja","2016","204","7.6","https://www.imdb.com/title/tt5286444/"
"","Saala Khadoos","2016","215","7.6","https://www.imdb.com/title/tt5310090/"
"","Dhruva","2016","222","7.5","https://www.imdb.com/title/tt6027478/"
"","Trapped","2016","229","7.5","https://www.imdb.com/title/tt6206564/"
"","Madaari","2016","238","7.5","https://www.imdb.com/title/tt5713232/"
"","Vikram Vedha","2017","34","8.2","https://www.imdb.com/title/tt6148156/"
"","Theeran adhigaaram ondru","2017","90","8.1","https://www.imdb.com/title/tt7060460/"
"","Baahubali 2: The Conclusion","2017","108","8.0","https://www.imdb.com/title/tt4849438/"
"","Arjun Reddy","2017","128","7.9","https://www.imdb.com/title/tt7294534/"
"","Mukkabaaz","2017","131","7.9","https://www.imdb.com/title/tt7180544/"
"","Angamaly Diaries","2017","140","7.9","https://www.imdb.com/title/tt6167894/"
"","Hindi Medium","2017","161","7.8","https://www.imdb.com/title/tt5764096/"
"","Secret Superstar","2017","164","7.8","https://www.imdb.com/title/tt6108090/"
"","Newton","2017","196","7.6","https://www.imdb.com/title/tt6484982/"
"","The Ghazi Attack","2017","243","7.5","https://www.imdb.com/title/tt6299040/"
"","Bareilly Ki Barfi","2017","246","7.5","https://www.imdb.com/title/tt6967980/"
"","Pariyerum Perumal","2018","7","8.4","https://www.imdb.com/title/tt8176054/"
"","96","2018","13","8.4","https://www.imdb.com/title/tt7019842/"
"","Ratsasan","2018","17","8.3","https://www.imdb.com/title/tt7060344/"
"","Vada Chennai","2018","33","8.2","https://www.imdb.com/title/tt5959980/"
"","Peranbu","2018","36","8.2","https://www.imdb.com/title/tt7738784/"
"","Tumbbad","2018","41","8.2","https://www.imdb.com/title/tt8239946/"
"","Mahanati","2018","42","8.2","https://www.imdb.com/title/tt7465992/"
"","Andhadhun","2018","43","8.2","https://www.imdb.com/title/tt8108198/"
"","Uri: The Surgical Strike","2018","93","8.1","https://www.imdb.com/title/tt8291224/"
"","Rangasthalam","2018","118","8.0","https://www.imdb.com/title/tt7392212/"
"","Badhaai ho","2018","123","7.9","https://www.imdb.com/title/tt7725596/"
"","K.G.F: Chapter 1","2018","133","7.9","https://www.imdb.com/title/tt7838252/"
"","Padman","2018","145","7.8","https://www.imdb.com/title/tt7218518/"
"","Raazi","2018","169","7.7","https://www.imdb.com/title/tt7098658/"
"","Goodachari","2018","183","7.7","https://www.imdb.com/title/tt7758160/"
"","Sanju","2018","220","7.5","https://www.imdb.com/title/tt6452574/"
"","Parmanu: The Story of Pokhran","2018","227","7.5","https://www.imdb.com/title/tt6826438/"
"","Stree","2018","228","7.5","https://www.imdb.com/title/tt8108202/"
"","Geetha Govindam","2018","231","7.5","https://www.imdb.com/title/tt8590896/"
"","Bhavesh Joshi Superhero","2018","236","7.5","https://www.imdb.com/title/tt6129302/"
"","Karwaan","2018","245","7.5","https://www.imdb.com/title/tt7919680/"
"","Kumbalangi Nights","2019","14","8.4","https://www.imdb.com/title/tt8413338/"
"","Asuran","2019","25","8.3","https://www.imdb.com/title/tt9477520/"
"","Jersey","2019","26","8.3","https://www.imdb.com/title/tt8948790/"
"","Kaithi","2019","30","8.2","https://www.imdb.com/title/tt9900782/"
"","Super Deluxe","2019","39","8.2","https://www.imdb.com/title/tt7019942/"
